current_date,Time,Temperature,Dew Point,Humidity,Wind speed,Wind Gust,Pressure,Precip
20220103,19:51,28,7,41%,15mph,22mph,30.12in,0in
20220103,20:51,27,5,39%,13mph,25mph,30.16in,0in
20220103,21:51,26,8,47%,14mph,23mph,30.18in,0in
20220103,22:51,26,12,55%,14mph,0mph,30.2in,0in
20220103,23:51,25,12,58%,17mph,0mph,30.21in,0in
20220103,00:51,25,13,60%,16mph,24mph,30.23in,0in
20220104,01:51,24,12,60%,14mph,0mph,30.24in,0in
20220104,02:51,23,11,60%,15mph,0mph,30.28in,0in
20220104,03:51,23,9,55%,15mph,0mph,30.31in,0in
20220104,04:51,22,8,55%,14mph,0mph,30.33in,0in
20220104,05:51,22,8,55%,15mph,0mph,30.35in,0in
20220104,06:51,21,8,57%,14mph,0mph,30.37in,0in
20220104,07:51,21,8,57%,15mph,0mph,30.39in,0in
20220104,08:51,22,8,55%,9mph,0mph,30.41in,0in
20220104,09:51,23,8,53%,6mph,0mph,30.42in,0in
20220104,10:51,26,9,49%,3mph,0mph,30.43in,0in
20220104,11:51,29,9,43%,0mph,0mph,30.42in,0in
20220104,12:51,32,7,35%,0mph,0mph,30.38in,0in
20220104,13:51,33,11,40%,3mph,0mph,30.35in,0in
20220104,14:51,35,12,39%,3mph,0mph,30.34in,0in
20220104,15:51,34,10,37%,9mph,0mph,30.34in,0in
20220104,16:51,35,12,39%,8mph,0mph,30.34in,0in
20220104,17:51,34,11,38%,8mph,0mph,30.34in,0in
20220104,18:51,34,13,42%,8mph,0mph,30.34in,0in
20220104,19:51,34,13,42%,7mph,0mph,30.34in,0in
20220104,20:51,34,13,42%,9mph,0mph,30.34in,0in
20220104,21:51,34,15,46%,10mph,0mph,30.32in,0in
20220104,22:51,33,16,50%,7mph,0mph,30.31in,0in
20220104,23:51,33,17,52%,8mph,0mph,30.3in,0in
20220104,00:51,32,18,56%,9mph,0mph,30.28in,0in
20220105,01:51,32,18,56%,7mph,0mph,30.25in,0in
20220105,02:51,32,16,52%,6mph,0mph,30.22in,0in
20220105,03:51,33,21,61%,7mph,0mph,30.2in,0in
20220105,04:51,34,23,64%,7mph,0mph,30.16in,0in
20220105,05:51,34,24,67%,3mph,0mph,30.12in,0in
20220105,06:51,35,25,67%,3mph,0mph,30.08in,0.0in
20220105,07:51,35,29,78%,3mph,0mph,30.05in,0.03in
20220105,08:51,36,31,82%,3mph,0mph,30.02in,0.05in
20220105,09:51,38,34,86%,7mph,0mph,29.98in,0.04in
20220105,10:51,39,35,86%,10mph,0mph,29.98in,0.02in
20220105,11:51,41,36,82%,6mph,0mph,29.94in,0.02in
20220105,12:51,42,37,82%,9mph,0mph,29.88in,0.05in
20220105,13:51,44,39,82%,13mph,0mph,29.83in,0.03in
20220105,14:51,45,40,82%,12mph,0mph,29.79in,0in
20220105,15:51,46,41,83%,9mph,0mph,29.76in,0in
20220105,16:51,47,42,83%,6mph,0mph,29.76in,0in
20220105,17:51,48,41,77%,6mph,0mph,29.75in,0in
20220105,18:51,47,41,80%,10mph,0mph,29.72in,0in
20220105,19:51,47,39,74%,8mph,0mph,29.71in,0in
20220105,20:51,46,39,76%,7mph,0mph,29.73in,0in
20220105,21:51,45,37,74%,12mph,0mph,29.71in,0in
20220105,22:51,44,36,73%,9mph,0mph,29.69in,0in
20220105,23:51,43,35,74%,8mph,0mph,29.68in,0in
20220105,00:51,42,34,73%,9mph,0mph,29.67in,0in
20220106,01:51,42,34,73%,7mph,0mph,29.67in,0in
20220106,02:51,43,33,68%,14mph,20mph,29.69in,0in
20220106,03:51,42,32,67%,9mph,0mph,29.7in,0in
20220106,04:51,42,31,65%,12mph,0mph,29.72in,0in
20220106,05:51,41,29,62%,13mph,0mph,29.74in,0in
20220106,06:51,41,28,60%,15mph,0mph,29.78in,0in
20220106,07:51,40,23,51%,16mph,25mph,29.8in,0in
20220106,08:51,39,18,43%,18mph,32mph,29.82in,0in
20220106,09:51,38,17,43%,13mph,23mph,29.87in,0in
20220106,10:51,38,17,43%,14mph,21mph,29.89in,0in
20220106,11:51,38,14,38%,15mph,23mph,29.91in,0in
20220106,12:51,39,14,36%,16mph,22mph,29.89in,0in
20220106,13:51,39,13,34%,15mph,0mph,29.89in,0in
20220106,14:51,39,14,36%,12mph,0mph,29.89in,0in
20220106,15:51,39,13,34%,12mph,0mph,29.89in,0in
20220106,16:51,39,12,33%,3mph,0mph,29.89in,0in
20220106,17:51,38,15,39%,10mph,0mph,29.92in,0in
20220106,18:51,38,16,41%,13mph,0mph,29.94in,0in
20220106,19:51,37,15,41%,6mph,0mph,29.96in,0in
20220106,20:51,36,14,41%,5mph,0mph,29.94in,0in
20220106,21:51,36,14,41%,7mph,0mph,29.9in,0in
20220106,22:51,36,14,41%,7mph,0mph,29.91in,0in
20220106,23:51,36,16,44%,7mph,0mph,29.91in,0in
20220106,00:51,36,16,44%,9mph,0mph,29.88in,0in
20220107,01:51,33,21,61%,21mph,28mph,29.78in,0in
20220107,02:51,32,23,69%,9mph,0mph,29.8in,0.0in
20220107,03:51,31,26,82%,12mph,0mph,29.77in,0.04in
20220107,04:51,31,27,85%,14mph,0mph,29.72in,0.1in
20220107,05:51,30,27,88%,10mph,0mph,29.73in,0.06in
20220107,06:51,30,26,85%,9mph,0mph,29.75in,0.06in
20220107,07:51,30,26,85%,14mph,0mph,29.75in,0.05in
20220107,08:51,30,26,85%,17mph,22mph,29.77in,0.02in
20220107,09:51,30,25,82%,16mph,0mph,29.78in,0.0in
20220107,10:51,31,24,76%,14mph,0mph,29.8in,0.0in
20220107,11:51,34,24,67%,22mph,26mph,29.8in,0in
20220107,12:51,36,22,57%,17mph,25mph,29.79in,0in
20220107,13:51,35,20,54%,25mph,33mph,29.8in,0in
20220107,14:51,36,17,46%,28mph,35mph,29.8in,0in
20220107,15:51,34,16,48%,21mph,30mph,29.84in,0in
20220107,16:51,35,15,44%,23mph,29mph,29.89in,0in
20220107,17:51,33,15,48%,23mph,35mph,29.94in,0in
20220107,18:51,32,17,54%,24mph,36mph,30.0in,0in
20220107,19:51,31,14,50%,23mph,31mph,30.04in,0in
20220107,20:51,30,12,47%,20mph,32mph,30.08in,0in
20220107,21:51,29,12,49%,22mph,31mph,30.11in,0in
20220107,22:51,29,12,49%,20mph,28mph,30.13in,0in
20220107,23:51,28,10,47%,18mph,28mph,30.16in,0in
20220107,00:51,28,11,49%,25mph,32mph,30.19in,0in
20220108,01:51,27,10,49%,22mph,30mph,30.21in,0in
20220108,02:51,26,9,49%,22mph,32mph,30.25in,0in
20220108,03:51,26,10,51%,21mph,28mph,30.3in,0in
20220108,04:51,25,10,53%,18mph,26mph,30.33in,0in
20220108,05:51,24,9,53%,21mph,28mph,30.38in,0in
20220108,06:51,24,9,53%,14mph,23mph,30.43in,0in
20220108,07:51,24,10,55%,20mph,0mph,30.45in,0in
20220108,08:51,23,9,55%,14mph,0mph,30.5in,0in
20220108,09:51,23,8,53%,14mph,0mph,30.54in,0in
20220108,10:51,25,7,46%,13mph,0mph,30.59in,0in
20220108,11:51,26,7,44%,12mph,0mph,30.59in,0in
20220108,12:51,28,5,38%,10mph,0mph,30.57in,0in
20220108,13:51,29,4,35%,6mph,0mph,30.56in,0in
20220108,14:51,30,4,33%,5mph,0mph,30.56in,0in
20220108,15:51,31,3,31%,0mph,0mph,30.56in,0in
20220108,16:51,32,4,31%,0mph,0mph,30.57in,0in
20220108,17:51,30,3,32%,0mph,0mph,30.58in,0in
20220108,18:51,31,5,33%,0mph,0mph,30.57in,0in
20220108,19:51,30,7,38%,8mph,0mph,30.58in,0in
20220108,20:51,30,9,41%,7mph,0mph,30.59in,0in
20220108,21:51,30,9,41%,7mph,0mph,30.57in,0in
20220108,22:51,30,8,40%,12mph,0mph,30.56in,0in
20220108,23:51,30,9,41%,7mph,0mph,30.51in,0in
20220108,00:51,30,9,41%,8mph,0mph,30.53in,0in
20220109,01:51,30,9,41%,12mph,0mph,30.5in,0in
20220109,02:51,30,12,47%,9mph,0mph,30.5in,0in
20220109,03:51,31,15,52%,9mph,0mph,30.47in,0in
20220109,04:51,32,16,52%,10mph,0mph,30.44in,0in
20220109,05:51,33,18,54%,10mph,0mph,30.38in,0in
20220109,06:51,34,21,59%,10mph,0mph,30.36in,0in
20220109,07:51,35,22,59%,10mph,0mph,30.32in,0in
20220109,08:51,36,24,62%,13mph,0mph,30.3in,0in
20220109,09:51,36,23,59%,14mph,0mph,30.28in,0in
20220109,10:51,37,24,59%,6mph,0mph,30.26in,0in
20220109,11:51,38,25,60%,12mph,0mph,30.22in,0in
20220109,12:51,39,26,60%,14mph,26mph,30.13in,0.0in
20220109,13:51,40,28,63%,12mph,26mph,30.1in,0in
20220109,14:51,40,28,63%,13mph,20mph,30.06in,0in
20220109,15:51,40,30,68%,13mph,21mph,30.02in,0in
20220109,16:51,40,31,70%,12mph,18mph,30.0in,0.0in
20220109,17:51,40,32,73%,7mph,0mph,30.0in,0.01in
20220109,18:51,40,33,77%,12mph,18mph,29.99in,0.01in
20220109,19:51,40,34,79%,9mph,0mph,29.97in,0.02in
20220109,20:51,40,35,83%,10mph,0mph,29.97in,0.02in
20220109,21:51,41,35,79%,9mph,0mph,29.95in,0.04in
20220109,22:51,41,35,79%,8mph,0mph,29.93in,0.01in
20220109,23:51,42,34,73%,16mph,21mph,29.94in,0in
20220109,00:51,42,34,73%,13mph,0mph,29.94in,0in
20220110,01:51,42,31,65%,18mph,0mph,29.95in,0in
20220110,02:51,41,30,65%,13mph,0mph,29.95in,0in
20220110,03:51,40,25,55%,18mph,26mph,29.98in,0in
20220110,04:51,37,23,57%,21mph,29mph,30.0in,0in
20220110,05:51,35,18,50%,18mph,29mph,30.03in,0in
20220110,06:51,33,14,46%,24mph,29mph,30.06in,0in
20220110,07:51,31,13,47%,18mph,32mph,30.08in,0in
20220110,08:51,30,12,47%,15mph,29mph,30.11in,0in
20220110,09:51,30,12,47%,23mph,30mph,30.14in,0in
20220110,10:51,29,11,47%,16mph,24mph,30.15in,0in
20220110,11:51,30,10,43%,15mph,0mph,30.15in,0in
20220110,12:51,30,9,41%,18mph,24mph,30.13in,0in
20220110,13:51,31,6,35%,20mph,0mph,30.09in,0in
20220110,14:51,31,6,35%,13mph,0mph,30.09in,0in
20220110,15:51,31,5,33%,16mph,25mph,30.09in,0in
20220110,16:51,30,5,35%,14mph,23mph,30.1in,0in
20220110,17:51,29,6,38%,17mph,0mph,30.11in,0in
20220110,18:51,29,7,40%,15mph,23mph,30.12in,0in
20220110,19:51,29,6,38%,13mph,22mph,30.13in,0in
20220110,20:51,28,8,43%,16mph,25mph,30.13in,0in
20220110,21:51,28,9,45%,14mph,25mph,30.12in,0in
20220110,22:51,28,8,43%,16mph,30mph,30.13in,0in
20220110,23:51,27,7,43%,16mph,29mph,30.14in,0in
20220110,00:51,27,8,45%,15mph,25mph,30.15in,0in
20220111,01:51,26,9,49%,30mph,36mph,30.18in,0in
20220111,02:51,24,11,57%,22mph,0mph,30.22in,0.0in
20220111,03:51,22,4,46%,22mph,30mph,30.27in,0in
20220111,04:51,22,5,48%,22mph,0mph,30.3in,0in
20220111,05:51,20,4,50%,16mph,26mph,30.33in,0in
20220111,06:51,20,5,52%,22mph,28mph,30.37in,0in
20220111,07:51,19,3,50%,20mph,28mph,30.42in,0in
20220111,08:51,18,1,48%,21mph,31mph,30.44in,0in
20220111,09:51,18,0,45%,21mph,30mph,30.48in,0in
20220111,10:51,18,0,45%,17mph,26mph,30.52in,0in
20220111,11:51,18,-2,41%,17mph,25mph,30.52in,0in
20220111,12:51,19,-2,40%,15mph,25mph,30.5in,0in
20220111,13:51,20,-3,37%,14mph,25mph,30.48in,0in
20220111,14:51,21,-2,36%,16mph,22mph,30.48in,0in
20220111,15:51,21,-4,33%,9mph,22mph,30.48in,0in
20220111,16:51,21,-4,33%,12mph,21mph,30.49in,0in
20220111,17:51,20,-4,35%,12mph,0mph,30.52in,0in
20220111,18:51,21,-1,38%,13mph,0mph,30.54in,0in
20220111,19:51,20,-4,35%,5mph,0mph,30.53in,0in
20220111,20:51,19,-4,36%,3mph,0mph,30.52in,0in
20220111,21:51,20,-4,35%,5mph,0mph,30.5in,0in
20220111,22:51,20,-4,35%,0mph,0mph,30.5in,0in
20220111,23:51,20,-3,37%,6mph,0mph,30.47in,0in
20220111,00:51,20,-3,37%,8mph,0mph,30.46in,0in
20220112,01:51,21,0,40%,8mph,0mph,30.42in,0in
20220112,02:51,22,1,40%,10mph,0mph,30.41in,0in
20220112,03:51,22,2,42%,12mph,0mph,30.37in,0in
20220112,04:51,23,3,42%,9mph,0mph,30.35in,0in
20220112,05:51,24,6,46%,12mph,0mph,30.31in,0in
20220112,06:51,25,11,55%,14mph,0mph,30.29in,0in
20220112,07:51,27,10,49%,14mph,24mph,30.25in,0in
20220112,08:51,28,9,45%,10mph,0mph,30.23in,0in
20220112,09:51,30,13,49%,17mph,21mph,30.23in,0in
20220112,10:51,32,14,48%,14mph,25mph,30.2in,0in
20220112,11:51,35,15,44%,15mph,23mph,30.15in,0in
20220112,12:51,37,16,42%,13mph,0mph,30.12in,0in
20220112,13:51,39,16,39%,12mph,0mph,30.09in,0in
20220112,14:51,41,16,36%,10mph,0mph,30.06in,0in
20220112,15:51,42,17,37%,9mph,0mph,30.06in,0in
20220112,16:51,41,17,38%,12mph,0mph,30.05in,0in
20220112,17:51,40,18,41%,8mph,0mph,30.06in,0in
20220112,18:51,39,19,45%,6mph,0mph,30.06in,0in
20220112,19:51,40,19,43%,7mph,0mph,30.07in,0in
20220112,20:51,39,19,45%,6mph,0mph,30.08in,0in
20220112,21:51,38,20,48%,5mph,0mph,30.08in,0in
20220112,22:51,38,19,47%,6mph,0mph,30.08in,0in
20220112,23:51,40,18,41%,8mph,0mph,30.07in,0in
20220112,00:51,38,19,47%,0mph,0mph,30.06in,0in
20220113,01:51,38,19,47%,0mph,0mph,30.05in,0in
20220113,02:51,34,21,59%,3mph,0mph,30.04in,0in
20220113,03:51,36,23,59%,7mph,0mph,30.04in,0in
20220113,04:51,36,23,59%,6mph,0mph,30.01in,0in
20220113,05:51,34,23,64%,3mph,0mph,30.01in,0in
20220113,06:51,36,24,62%,0mph,0mph,30.01in,0in
20220113,07:51,37,23,57%,0mph,0mph,30.01in,0in
20220113,08:51,38,27,65%,3mph,0mph,30.03in,0in
20220113,09:51,39,26,60%,5mph,0mph,30.02in,0in
20220113,10:51,39,27,62%,6mph,0mph,30.03in,0in
20220113,11:51,42,28,58%,5mph,0mph,30.01in,0in
20220113,12:51,43,27,53%,7mph,0mph,29.97in,0in
20220113,13:51,44,27,51%,8mph,0mph,29.94in,0in
20220113,14:51,45,25,46%,8mph,0mph,29.91in,0in
20220113,15:51,43,30,60%,8mph,0mph,29.9in,0in
20220113,16:51,42,30,62%,7mph,0mph,29.9in,0in
20220113,17:51,41,33,73%,9mph,0mph,29.89in,0in
20220113,18:51,41,34,76%,10mph,0mph,29.89in,0in
20220113,19:51,40,34,79%,8mph,0mph,29.89in,0in
20220113,20:51,41,34,76%,7mph,0mph,29.88in,0in
20220113,21:51,41,34,76%,7mph,0mph,29.87in,0in
20220113,22:51,40,32,73%,7mph,0mph,29.86in,0in
20220113,23:51,41,32,70%,8mph,0mph,29.84in,0in
20220113,00:51,41,33,73%,6mph,0mph,29.82in,0in
20220114,01:51,41,33,73%,7mph,0mph,29.79in,0in
20220114,02:51,41,34,76%,12mph,0mph,29.79in,0in
20220114,03:51,41,36,82%,8mph,0mph,29.8in,0in
20220114,04:51,41,35,79%,8mph,0mph,29.78in,0in
20220114,05:51,41,34,76%,7mph,0mph,29.75in,0in
20220114,06:51,41,33,73%,10mph,0mph,29.76in,0in
20220114,07:51,41,33,73%,13mph,0mph,29.77in,0in
20220114,08:51,41,30,65%,13mph,0mph,29.76in,0in
20220114,09:51,41,28,60%,15mph,23mph,29.76in,0in
20220114,10:51,42,30,62%,16mph,0mph,29.77in,0in
20220114,11:51,42,30,62%,24mph,35mph,29.76in,0in
20220114,12:51,42,29,60%,28mph,36mph,29.74in,0in
20220114,13:51,41,28,60%,24mph,38mph,29.74in,0in
20220114,14:51,41,27,57%,23mph,38mph,29.73in,0in
20220114,15:51,40,26,58%,28mph,37mph,29.74in,0in
20220114,16:51,39,25,57%,23mph,30mph,29.76in,0in
20220114,17:51,37,24,59%,21mph,28mph,29.78in,0in
20220114,18:51,35,23,61%,21mph,31mph,29.81in,0in
20220114,19:51,34,21,59%,16mph,26mph,29.84in,0in
20220114,20:51,32,19,59%,16mph,24mph,29.87in,0in
20220114,21:51,30,18,61%,20mph,26mph,29.9in,0in
20220114,22:51,27,15,61%,15mph,0mph,29.92in,0in
20220114,23:51,25,13,60%,22mph,32mph,29.93in,0in
20220115,03:51,19,7,59%,14mph,0mph,30.04in,0in
20220115,04:51,17,5,59%,13mph,0mph,30.07in,0in
20220115,05:51,16,4,59%,13mph,0mph,30.1in,0in
20220115,06:51,15,2,56%,14mph,0mph,30.14in,0in
20220115,07:51,14,1,56%,13mph,0mph,30.18in,0in
20220115,08:51,13,-1,54%,15mph,21mph,30.21in,0in
20220115,09:51,13,-2,51%,16mph,23mph,30.25in,0in
20220115,10:51,14,-3,47%,13mph,0mph,30.28in,0in
20220115,11:51,15,-4,43%,18mph,23mph,30.29in,0in
20220115,12:51,17,-4,39%,15mph,20mph,30.28in,0in
20220115,13:51,18,-4,38%,12mph,0mph,30.29in,0in
20220115,14:51,19,-5,34%,13mph,0mph,30.28in,0in
20220115,15:51,19,-4,36%,9mph,0mph,30.28in,0in
20220115,16:51,20,-3,37%,9mph,0mph,30.3in,0in
20220115,17:51,19,-1,42%,9mph,0mph,30.32in,0in
20220115,18:51,19,0,43%,10mph,0mph,30.34in,0in
20220115,19:51,19,-1,42%,12mph,0mph,30.35in,0in
20220115,20:51,17,-1,45%,12mph,0mph,30.37in,0in
20220115,21:51,17,0,47%,13mph,0mph,30.39in,0in
20220115,22:51,16,-1,47%,10mph,0mph,30.39in,0in
20220115,23:51,15,1,54%,14mph,18mph,30.4in,0in
20220115,00:51,14,1,56%,14mph,0mph,30.4in,0in
20220116,01:51,14,-1,52%,15mph,0mph,30.37in,0in
20220116,02:51,13,-3,49%,10mph,0mph,30.4in,0in
20220116,03:51,12,-4,49%,10mph,0mph,30.4in,0in
20220116,04:51,12,-4,49%,9mph,0mph,30.4in,0in
20220116,05:51,11,-6,47%,12mph,0mph,30.39in,0in
20220116,06:51,10,-6,48%,7mph,0mph,30.4in,0in
20220116,07:51,10,-4,53%,8mph,0mph,30.41in,0in
20220116,08:51,11,-3,54%,5mph,0mph,30.41in,0in
20220116,09:51,13,1,59%,3mph,0mph,30.42in,0in
20220116,10:51,16,4,59%,6mph,0mph,30.41in,0in
20220116,11:51,19,7,59%,9mph,0mph,30.37in,0in
20220116,12:51,21,11,65%,12mph,0mph,30.33in,0in
20220116,13:51,23,15,72%,10mph,0mph,30.29in,0in
20220116,14:51,25,17,72%,14mph,0mph,30.26in,0in
20220116,15:51,26,19,75%,16mph,0mph,30.21in,0in
20220116,16:51,27,19,72%,17mph,0mph,30.16in,0in
20220116,17:51,30,23,75%,15mph,0mph,30.14in,0in
20220116,18:51,32,23,69%,12mph,0mph,30.11in,0in
20220116,19:51,34,24,67%,14mph,0mph,30.06in,0.0in
20220116,20:51,32,27,82%,16mph,0mph,30.0in,0.02in
20220116,21:51,33,29,85%,17mph,0mph,29.93in,0.02in
20220116,22:51,34,31,89%,18mph,0mph,29.87in,0.07in
20220116,23:51,36,33,89%,21mph,0mph,29.76in,0.1in
20220116,00:51,40,35,83%,20mph,29mph,29.65in,0.14in
20220117,01:51,41,37,86%,22mph,30mph,29.54in,0.17in
20220117,02:51,42,38,85%,24mph,35mph,29.41in,0.16in
20220117,03:51,41,36,82%,32mph,40mph,29.29in,0.16in
20220117,04:51,41,38,89%,23mph,30mph,29.25in,0.21in
20220117,05:51,41,38,89%,20mph,29mph,29.15in,0.31in
20220117,06:51,43,39,86%,9mph,0mph,29.11in,0.05in
20220117,07:51,45,36,71%,16mph,22mph,29.1in,0.0in
20220117,08:51,44,34,68%,14mph,26mph,29.09in,0.0in
20220117,09:51,42,33,70%,17mph,31mph,29.1in,0.0in
20220117,10:51,41,33,73%,20mph,33mph,29.09in,0.01in
20220117,11:51,41,32,70%,14mph,0mph,29.09in,0in
20220117,12:51,39,29,67%,22mph,30mph,29.08in,0in
20220117,13:51,38,29,70%,18mph,29mph,29.07in,0in
20220117,14:51,38,29,70%,20mph,33mph,29.09in,0in
20220117,15:51,38,27,65%,16mph,0mph,29.11in,0in
20220117,16:51,38,26,62%,18mph,28mph,29.13in,0in
20220117,17:51,38,26,62%,18mph,32mph,29.16in,0.0in
20220117,18:51,37,27,67%,20mph,26mph,29.19in,0.0in
20220117,19:51,38,25,60%,20mph,28mph,29.24in,0.0in
20220117,20:51,37,25,62%,16mph,29mph,29.27in,0.0in
20220117,21:51,37,24,59%,14mph,26mph,29.29in,0.0in
20220117,22:51,37,21,52%,18mph,32mph,29.32in,0.0in
20220117,23:51,36,19,50%,26mph,0mph,29.37in,0in
20220117,00:51,35,20,54%,25mph,35mph,29.41in,0in
20220118,01:51,35,19,52%,28mph,36mph,29.44in,0in
20220118,02:51,35,19,52%,21mph,26mph,29.49in,0in
20220118,03:51,33,15,48%,30mph,38mph,29.56in,0in
20220118,04:51,32,14,48%,21mph,28mph,29.59in,0in
20220118,05:51,33,14,46%,25mph,36mph,29.63in,0in
20220118,06:51,32,16,52%,24mph,31mph,29.68in,0in
20220118,07:51,32,17,54%,20mph,28mph,29.73in,0in
20220118,08:51,32,17,54%,21mph,30mph,29.77in,0in
20220118,09:51,34,18,52%,18mph,23mph,29.8in,0in
20220118,10:51,35,15,44%,21mph,31mph,29.83in,0in
20220118,11:51,36,15,43%,29mph,40mph,29.85in,0in
20220118,12:51,36,13,39%,29mph,38mph,29.86in,0in
20220118,13:51,36,16,44%,21mph,29mph,29.88in,0in
20220118,14:51,38,11,33%,18mph,29mph,29.91in,0in
20220118,15:51,38,12,35%,25mph,33mph,29.94in,0in
20220118,16:51,37,13,37%,21mph,33mph,29.97in,0in
20220118,17:51,36,14,41%,18mph,0mph,30.02in,0in
20220118,18:51,34,13,42%,17mph,26mph,30.06in,0in
20220118,19:51,34,13,42%,14mph,0mph,30.1in,0in
20220118,20:51,33,14,46%,14mph,0mph,30.12in,0in
20220118,21:51,32,14,48%,8mph,0mph,30.13in,0in
20220118,22:51,32,14,48%,8mph,0mph,30.14in,0in
20220118,23:51,31,14,50%,0mph,0mph,30.16in,0in
20220118,00:51,32,15,50%,0mph,0mph,30.16in,0in
20220119,01:51,30,14,51%,0mph,0mph,30.15in,0in
20220119,02:51,30,15,54%,5mph,0mph,30.16in,0in
20220119,03:51,30,16,56%,3mph,0mph,30.16in,0in
20220119,04:51,31,18,59%,6mph,0mph,30.14in,0in
20220119,05:51,32,20,61%,6mph,0mph,30.14in,0in
20220119,06:51,33,20,59%,7mph,0mph,30.12in,0in
20220119,07:51,35,18,50%,10mph,0mph,30.13in,0in
20220119,08:51,36,20,52%,10mph,0mph,30.12in,0in
20220119,09:51,37,22,54%,16mph,23mph,30.12in,0in
20220119,10:51,39,22,50%,13mph,26mph,30.09in,0in
20220119,11:51,41,24,51%,14mph,22mph,30.06in,0in
20220119,12:51,42,25,51%,12mph,0mph,30.01in,0in
20220119,13:51,46,22,39%,14mph,20mph,29.97in,0in
20220119,14:51,49,21,33%,16mph,21mph,29.93in,0in
