current_date,Time,Temperature,Dew Point,Humidity,Wind,Wind speed,Wind Gust,Pressure,Precip,Condition
20220102,6:51 AM,51°„F,48°„F,89%,NNW,7mph,Nonemph,29.55in,0.02in,Light Rain
20220102,7:51 AM,52°„F,50°„F,93%,CALM,0mph,Nonemph,29.54in,0.0in,Cloudy
20220102,7:59 AM,53°„F,50°„F,89%,SW,3mph,Nonemph,29.55in,0in,Cloudy
20220102,8:51 AM,52°„F,50°„F,93%,CALM,0mph,Nonemph,29.55in,0in,Cloudy
20220102,9:51 AM,54°„F,51°„F,90%,SSW,7mph,Nonemph,29.55in,0in,Cloudy
20220102,10:51 AM,54°„F,51°„F,90%,SSW,8mph,Nonemph,29.58in,0in,Cloudy
20220102,10:53 AM,54°„F,52°„F,93%,S,8mph,Nonemph,29.58in,0in,Cloudy
20220102,11:25 AM,54°„F,52°„F,94%,SW,9mph,Nonemph,29.59in,0in,Cloudy
20220102,11:51 AM,54°„F,51°„F,90%,SW,9mph,Nonemph,29.6in,0in,Cloudy
20220102,12:51 PM,55°„F,51°„F,86%,SW,10mph,Nonemph,29.57in,0in,Cloudy
20220102,1:45 PM,57°„F,52°„F,82%,WSW,15mph,Nonemph,29.57in,0in,Cloudy
20220102,1:51 PM,58°„F,51°„F,78%,WSW,13mph,Nonemph,29.57in,0in,Cloudy
20220102,2:51 PM,60°„F,50°„F,69%,W,10mph,Nonemph,29.59in,0in,Mostly Cloudy
20220102,3:51 PM,54°„F,47°„F,77%,N,13mph,Nonemph,29.62in,0in,Mostly Cloudy
20220102,4:02 PM,52°„F,45°„F,77%,N,7mph,Nonemph,29.64in,0in,Mostly Cloudy
20220102,4:51 PM,51°„F,44°„F,77%,NE,7mph,Nonemph,29.67in,0in,Mostly Cloudy
20220102,5:51 PM,51°„F,43°„F,74%,NNW,14mph,Nonemph,29.71in,0in,Cloudy
20220102,6:51 PM,50°„F,39°„F,66%,NW,18mph,Nonemph,29.77in,0in,Mostly Cloudy
20220102,7:02 PM,49°„F,39°„F,69%,NW,21mph,Nonemph,29.78in,0in,Cloudy / Windy
20220102,7:51 PM,47°„F,36°„F,66%,NW,21mph,29mph,29.82in,0in,Cloudy / Windy
20220102,8:51 PM,42°„F,31°„F,65%,NW,18mph,Nonemph,29.88in,0in,Mostly Cloudy
20220102,9:51 PM,40°„F,29°„F,65%,NW,17mph,25mph,29.9in,0in,Mostly Cloudy
20220102,10:51 PM,40°„F,28°„F,63%,NNW,13mph,Nonemph,29.93in,0in,Mostly Cloudy
20220102,11:51 PM,40°„F,30°„F,68%,N,12mph,Nonemph,29.96in,0in,Mostly Cloudy
20220102,12:51 AM,40°„F,29°„F,65%,N,9mph,Nonemph,29.98in,0in,Mostly Cloudy
20220103,1:51 AM,39°„F,27°„F,62%,N,10mph,Nonemph,30.01in,0in,Mostly Cloudy
20220103,2:51 AM,38°„F,26°„F,62%,NW,12mph,Nonemph,30.06in,0in,Mostly Cloudy
20220103,3:51 AM,37°„F,24°„F,59%,N,12mph,Nonemph,30.07in,0in,Mostly Cloudy
20220103,4:51 AM,35°„F,20°„F,54%,NNE,17mph,Nonemph,30.05in,0in,Mostly Cloudy
20220103,5:51 AM,34°„F,19°„F,54%,N,10mph,Nonemph,30.08in,0in,Mostly Cloudy
20220103,6:51 AM,34°„F,19°„F,54%,N,12mph,Nonemph,30.1in,0in,Cloudy
20220103,7:51 AM,33°„F,20°„F,59%,N,14mph,24mph,30.07in,0in,Cloudy
20220103,8:51 AM,32°„F,9°„F,38%,N,20mph,25mph,30.1in,0in,Cloudy
20220103,9:51 AM,31°„F,8°„F,38%,N,16mph,23mph,30.12in,0in,Cloudy
20220103,10:51 AM,31°„F,10°„F,42%,N,16mph,23mph,30.13in,0in,Cloudy
20220103,11:51 AM,30°„F,10°„F,43%,N,13mph,Nonemph,30.12in,0in,Cloudy
20220103,12:51 PM,30°„F,8°„F,40%,N,13mph,Nonemph,30.07in,0in,Cloudy
20220103,1:51 PM,30°„F,9°„F,41%,NNE,14mph,Nonemph,30.0in,0in,Cloudy
20220103,2:51 PM,30°„F,11°„F,45%,N,16mph,22mph,30.0in,0in,Cloudy
20220103,3:51 PM,29°„F,14°„F,54%,N,16mph,Nonemph,30.02in,0in,Cloudy
20220103,4:51 PM,29°„F,15°„F,56%,N,15mph,29mph,30.03in,0in,Cloudy
20220103,5:51 PM,29°„F,12°„F,49%,N,20mph,24mph,30.05in,0in,Mostly Cloudy
20220103,6:51 PM,28°„F,9°„F,45%,N,17mph,24mph,30.09in,0in,Mostly Cloudy
20220103,7:51 PM,28°„F,7°„F,41%,NNW,15mph,22mph,30.12in,0in,Mostly Cloudy
20220103,8:51 PM,27°„F,5°„F,39%,N,13mph,25mph,30.16in,0in,Mostly Cloudy
20220103,9:51 PM,26°„F,8°„F,47%,N,14mph,23mph,30.18in,0in,Partly Cloudy
20220103,10:51 PM,26°„F,12°„F,55%,NNW,14mph,Nonemph,30.2in,0in,Fair
20220103,11:51 PM,25°„F,12°„F,58%,NNW,17mph,Nonemph,30.21in,0in,Fair
20220103,12:51 AM,25°„F,13°„F,60%,NNW,16mph,24mph,30.23in,0in,Fair
20220104,1:51 AM,24°„F,12°„F,60%,NNW,14mph,Nonemph,30.24in,0in,Fair
20220104,2:51 AM,23°„F,11°„F,60%,NNW,15mph,Nonemph,30.28in,0in,Fair
20220104,3:51 AM,23°„F,9°„F,55%,NW,15mph,Nonemph,30.31in,0in,Fair
20220104,4:51 AM,22°„F,8°„F,55%,WNW,14mph,Nonemph,30.33in,0in,Fair
20220104,5:51 AM,22°„F,8°„F,55%,NW,15mph,Nonemph,30.35in,0in,Fair
20220104,6:51 AM,21°„F,8°„F,57%,NW,14mph,Nonemph,30.37in,0in,Fair
20220104,7:51 AM,21°„F,8°„F,57%,NW,15mph,Nonemph,30.39in,0in,Fair
20220104,8:51 AM,22°„F,8°„F,55%,N,9mph,Nonemph,30.41in,0in,Fair
20220104,9:51 AM,23°„F,8°„F,53%,NW,6mph,Nonemph,30.42in,0in,Fair
20220104,10:51 AM,26°„F,9°„F,49%,VAR,3mph,Nonemph,30.43in,0in,Fair
20220104,11:51 AM,29°„F,9°„F,43%,CALM,0mph,Nonemph,30.42in,0in,Fair
20220104,12:51 PM,32°„F,7°„F,35%,CALM,0mph,Nonemph,30.38in,0in,Fair
20220104,1:51 PM,33°„F,11°„F,40%,W,3mph,Nonemph,30.35in,0in,Fair
20220104,2:51 PM,35°„F,12°„F,39%,NNW,3mph,Nonemph,30.34in,0in,Partly Cloudy
20220104,3:51 PM,34°„F,10°„F,37%,SSW,9mph,Nonemph,30.34in,0in,Partly Cloudy
20220104,4:51 PM,35°„F,12°„F,39%,SSW,8mph,Nonemph,30.34in,0in,Mostly Cloudy
20220104,5:51 PM,34°„F,11°„F,38%,SSW,8mph,Nonemph,30.34in,0in,Mostly Cloudy
20220104,6:51 PM,34°„F,13°„F,42%,S,8mph,Nonemph,30.34in,0in,Mostly Cloudy
20220104,7:51 PM,34°„F,13°„F,42%,SSW,7mph,Nonemph,30.34in,0in,Mostly Cloudy
20220104,8:51 PM,34°„F,13°„F,42%,SSW,9mph,Nonemph,30.34in,0in,Mostly Cloudy
20220104,9:51 PM,34°„F,15°„F,46%,SSW,10mph,Nonemph,30.32in,0in,Mostly Cloudy
20220104,10:51 PM,33°„F,16°„F,50%,SSW,7mph,Nonemph,30.31in,0in,Mostly Cloudy
20220104,11:51 PM,33°„F,17°„F,52%,SSW,8mph,Nonemph,30.3in,0in,Partly Cloudy
20220104,12:51 AM,32°„F,18°„F,56%,SSW,9mph,Nonemph,30.28in,0in,Partly Cloudy
20220105,1:51 AM,32°„F,18°„F,56%,SSW,7mph,Nonemph,30.25in,0in,Partly Cloudy
20220105,2:51 AM,32°„F,16°„F,52%,SSW,6mph,Nonemph,30.22in,0in,Mostly Cloudy
20220105,3:51 AM,33°„F,21°„F,61%,SSW,7mph,Nonemph,30.2in,0in,Mostly Cloudy
20220105,4:51 AM,34°„F,23°„F,64%,SW,7mph,Nonemph,30.16in,0in,Cloudy
20220105,5:51 AM,34°„F,24°„F,67%,SSW,3mph,Nonemph,30.12in,0in,Cloudy
20220105,6:26 AM,35°„F,24°„F,64%,S,5mph,Nonemph,30.1in,0.0in,Light Rain
20220105,6:43 AM,35°„F,25°„F,67%,SW,5mph,Nonemph,30.09in,0.0in,Wintry Mix
20220105,6:51 AM,35°„F,25°„F,67%,S,3mph,Nonemph,30.08in,0.0in,Wintry Mix
20220105,7:00 AM,35°„F,26°„F,70%,SW,3mph,Nonemph,30.09in,0.01in,Wintry Mix
20220105,7:11 AM,35°„F,27°„F,72%,CALM,0mph,Nonemph,30.07in,0.01in,Light Rain
20220105,7:51 AM,35°„F,29°„F,78%,VAR,3mph,Nonemph,30.05in,0.03in,Light Rain
20220105,8:51 AM,36°„F,31°„F,82%,S,3mph,Nonemph,30.02in,0.05in,Light Rain
20220105,9:21 AM,36°„F,32°„F,86%,SSE,6mph,Nonemph,29.99in,0.03in,Cloudy
20220105,9:49 AM,37°„F,34°„F,87%,S,6mph,Nonemph,29.98in,0.04in,Light Rain
20220105,9:51 AM,38°„F,34°„F,86%,S,7mph,Nonemph,29.98in,0.04in,Light Rain
20220105,10:51 AM,39°„F,35°„F,86%,SSW,10mph,Nonemph,29.98in,0.02in,Cloudy
20220105,11:37 AM,41°„F,36°„F,82%,SSW,8mph,Nonemph,29.94in,0.01in,Light Rain
20220105,11:51 AM,41°„F,36°„F,82%,SW,6mph,Nonemph,29.94in,0.02in,Light Rain
20220105,12:30 PM,41°„F,36°„F,82%,SW,9mph,Nonemph,29.9in,0.01in,Light Rain
20220105,12:51 PM,42°„F,37°„F,82%,SSW,9mph,Nonemph,29.88in,0.05in,Light Rain
20220105,1:51 PM,44°„F,39°„F,82%,S,13mph,Nonemph,29.83in,0.03in,Cloudy
20220105,2:23 PM,45°„F,39°„F,80%,SSW,13mph,24mph,29.81in,0in,Cloudy
20220105,2:51 PM,45°„F,40°„F,82%,S,12mph,Nonemph,29.79in,0in,Cloudy
20220105,3:51 PM,46°„F,41°„F,83%,SSW,9mph,Nonemph,29.76in,0in,Cloudy
20220105,4:39 PM,47°„F,42°„F,83%,SW,6mph,Nonemph,29.76in,0in,Cloudy
20220105,4:51 PM,47°„F,42°„F,83%,SW,6mph,Nonemph,29.76in,0in,Cloudy
20220105,5:39 PM,48°„F,42°„F,80%,SSW,9mph,Nonemph,29.75in,0in,Mostly Cloudy
20220105,5:51 PM,48°„F,41°„F,77%,SSW,6mph,Nonemph,29.75in,0in,Mostly Cloudy
20220105,6:51 PM,47°„F,41°„F,80%,SSW,10mph,Nonemph,29.72in,0in,Mostly Cloudy
20220105,7:29 PM,47°„F,40°„F,77%,SSW,8mph,Nonemph,29.71in,0in,Mostly Cloudy
20220105,7:51 PM,47°„F,39°„F,74%,SW,8mph,Nonemph,29.71in,0in,Mostly Cloudy
20220105,8:51 PM,46°„F,39°„F,76%,SW,7mph,Nonemph,29.73in,0in,Mostly Cloudy
20220105,9:51 PM,45°„F,37°„F,74%,WSW,12mph,Nonemph,29.71in,0in,Mostly Cloudy
20220105,10:51 PM,44°„F,36°„F,73%,SW,9mph,Nonemph,29.69in,0in,Mostly Cloudy
20220105,11:51 PM,43°„F,35°„F,74%,SW,8mph,Nonemph,29.68in,0in,Cloudy
20220105,12:51 AM,42°„F,34°„F,73%,SW,9mph,Nonemph,29.67in,0in,Cloudy
20220106,1:51 AM,42°„F,34°„F,73%,SW,7mph,Nonemph,29.67in,0in,Cloudy
20220106,2:51 AM,43°„F,33°„F,68%,W,14mph,20mph,29.69in,0in,Mostly Cloudy
20220106,3:51 AM,42°„F,32°„F,67%,WNW,9mph,Nonemph,29.7in,0in,Partly Cloudy
20220106,4:51 AM,42°„F,31°„F,65%,WNW,12mph,Nonemph,29.72in,0in,Partly Cloudy
20220106,5:51 AM,41°„F,29°„F,62%,WNW,13mph,Nonemph,29.74in,0in,Partly Cloudy
20220106,6:51 AM,41°„F,28°„F,60%,WNW,15mph,Nonemph,29.78in,0in,Partly Cloudy
20220106,7:51 AM,40°„F,23°„F,51%,WNW,16mph,25mph,29.8in,0in,Partly Cloudy
20220106,8:51 AM,39°„F,18°„F,43%,W,18mph,32mph,29.82in,0in,Mostly Cloudy
20220106,9:51 AM,38°„F,17°„F,43%,W,13mph,23mph,29.87in,0in,Mostly Cloudy
20220106,10:51 AM,38°„F,17°„F,43%,WNW,14mph,21mph,29.89in,0in,Mostly Cloudy
20220106,11:51 AM,38°„F,14°„F,38%,W,15mph,23mph,29.91in,0in,Mostly Cloudy
20220106,12:51 PM,39°„F,14°„F,36%,W,16mph,22mph,29.89in,0in,Cloudy
20220106,1:51 PM,39°„F,13°„F,34%,W,15mph,Nonemph,29.89in,0in,Cloudy
20220106,2:51 PM,39°„F,14°„F,36%,NW,12mph,Nonemph,29.89in,0in,Partly Cloudy
20220106,3:51 PM,39°„F,13°„F,34%,WNW,12mph,Nonemph,29.89in,0in,Mostly Cloudy
20220106,4:51 PM,39°„F,12°„F,33%,NW,3mph,Nonemph,29.89in,0in,Mostly Cloudy
20220106,5:51 PM,38°„F,15°„F,39%,WNW,10mph,Nonemph,29.92in,0in,Mostly Cloudy
20220106,6:51 PM,38°„F,16°„F,41%,NW,13mph,Nonemph,29.94in,0in,Mostly Cloudy
20220106,7:51 PM,37°„F,15°„F,41%,NNW,6mph,Nonemph,29.96in,0in,Mostly Cloudy
20220106,8:51 PM,36°„F,14°„F,41%,N,5mph,Nonemph,29.94in,0in,Mostly Cloudy
20220106,9:51 PM,36°„F,14°„F,41%,NE,7mph,Nonemph,29.9in,0in,Cloudy
20220106,10:51 PM,36°„F,14°„F,41%,NE,7mph,Nonemph,29.91in,0in,Cloudy
20220106,11:51 PM,36°„F,16°„F,44%,NE,7mph,Nonemph,29.91in,0in,Cloudy
20220106,12:51 AM,36°„F,16°„F,44%,NNE,9mph,Nonemph,29.88in,0in,Cloudy
20220107,1:51 AM,33°„F,21°„F,61%,N,21mph,28mph,29.78in,0in,Cloudy / Windy
20220107,2:41 AM,32°„F,23°„F,69%,N,10mph,Nonemph,29.81in,0.0in,Light Snow
20220107,2:47 AM,32°„F,23°„F,69%,NNE,9mph,Nonemph,29.8in,0.0in,Light Snow
20220107,2:51 AM,32°„F,23°„F,69%,N,9mph,Nonemph,29.8in,0.0in,Light Snow
20220107,3:06 AM,31°„F,24°„F,76%,NNE,7mph,Nonemph,29.79in,0.01in,Light Snow
20220107,3:19 AM,30°„F,25°„F,82%,NE,12mph,Nonemph,29.78in,0.02in,Light Snow
20220107,3:49 AM,30°„F,27°„F,86%,ENE,10mph,Nonemph,29.77in,0.04in,Light Snow
20220107,3:51 AM,31°„F,26°„F,82%,ENE,12mph,Nonemph,29.77in,0.04in,Light Snow
20220107,4:15 AM,31°„F,27°„F,85%,ENE,13mph,Nonemph,29.74in,0.04in,Snow
20220107,4:47 AM,30°„F,27°„F,86%,NE,14mph,Nonemph,29.72in,0.09in,Snow
20220107,4:51 AM,31°„F,27°„F,85%,ENE,14mph,Nonemph,29.72in,0.1in,Snow
20220107,5:51 AM,30°„F,27°„F,88%,N,10mph,Nonemph,29.73in,0.06in,Snow
20220107,6:20 AM,30°„F,27°„F,88%,NNW,13mph,Nonemph,29.73in,0.03in,Snow
20220107,6:37 AM,30°„F,27°„F,88%,N,9mph,Nonemph,29.74in,0.04in,Snow
20220107,6:51 AM,30°„F,26°„F,85%,N,9mph,Nonemph,29.75in,0.06in,Snow
20220107,7:51 AM,30°„F,26°„F,85%,NNW,14mph,Nonemph,29.75in,0.05in,Snow
20220107,8:49 AM,30°„F,27°„F,86%,NNW,14mph,Nonemph,29.76in,0.02in,Light Snow
20220107,8:51 AM,30°„F,26°„F,85%,NW,17mph,22mph,29.77in,0.02in,Light Snow
20220107,9:44 AM,30°„F,25°„F,82%,NW,14mph,Nonemph,29.78in,0.0in,Light Snow
20220107,9:51 AM,30°„F,25°„F,82%,NW,16mph,Nonemph,29.78in,0.0in,Light Snow
20220107,10:12 AM,31°„F,25°„F,79%,NW,15mph,Nonemph,29.79in,0.0in,Light Snow
20220107,10:24 AM,31°„F,25°„F,79%,NW,16mph,Nonemph,29.79in,0.0in,Mostly Cloudy
20220107,10:51 AM,31°„F,24°„F,76%,NW,14mph,Nonemph,29.8in,0.0in,Mostly Cloudy
20220107,11:43 AM,33°„F,23°„F,66%,NW,15mph,Nonemph,29.8in,0in,Mostly Cloudy
20220107,11:51 AM,34°„F,24°„F,67%,NW,22mph,26mph,29.8in,0in,Mostly Cloudy / Windy
20220107,12:27 PM,34°„F,22°„F,61%,WNW,20mph,29mph,29.79in,0in,Mostly Cloudy
20220107,12:51 PM,36°„F,22°„F,57%,NW,17mph,25mph,29.79in,0in,Mostly Cloudy
20220107,1:51 PM,35°„F,20°„F,54%,NW,25mph,33mph,29.8in,0in,Mostly Cloudy / Windy
20220107,2:51 PM,36°„F,17°„F,46%,WNW,28mph,35mph,29.8in,0in,Mostly Cloudy / Windy
20220107,3:51 PM,34°„F,16°„F,48%,NW,21mph,30mph,29.84in,0in,Mostly Cloudy / Windy
20220107,4:51 PM,35°„F,15°„F,44%,WNW,23mph,29mph,29.89in,0in,Mostly Cloudy / Windy
20220107,5:51 PM,33°„F,15°„F,48%,WNW,23mph,35mph,29.94in,0in,Partly Cloudy / Windy
20220107,6:51 PM,32°„F,17°„F,54%,WNW,24mph,36mph,30.0in,0in,Mostly Cloudy / Windy
20220107,7:51 PM,31°„F,14°„F,50%,NW,23mph,31mph,30.04in,0in,Partly Cloudy / Windy
20220107,8:51 PM,30°„F,12°„F,47%,WNW,20mph,32mph,30.08in,0in,Fair
20220107,9:51 PM,29°„F,12°„F,49%,WNW,22mph,31mph,30.11in,0in,Fair / Windy
20220107,10:51 PM,29°„F,12°„F,49%,NW,20mph,28mph,30.13in,0in,Fair
20220107,11:51 PM,28°„F,10°„F,47%,WNW,18mph,28mph,30.16in,0in,Fair
20220107,12:51 AM,28°„F,11°„F,49%,WNW,25mph,32mph,30.19in,0in,Mostly Cloudy / Windy
20220108,1:51 AM,27°„F,10°„F,49%,WNW,22mph,30mph,30.21in,0in,Fair / Windy
20220108,2:51 AM,26°„F,9°„F,49%,W,22mph,32mph,30.25in,0in,Fair / Windy
20220108,3:51 AM,26°„F,10°„F,51%,NW,21mph,28mph,30.3in,0in,Fair / Windy
20220108,4:51 AM,25°„F,10°„F,53%,NW,18mph,26mph,30.33in,0in,Fair
20220108,5:51 AM,24°„F,9°„F,53%,WNW,21mph,28mph,30.38in,0in,Fair / Windy
20220108,6:51 AM,24°„F,9°„F,53%,NW,14mph,23mph,30.43in,0in,Fair
20220108,7:51 AM,24°„F,10°„F,55%,WNW,20mph,Nonemph,30.45in,0in,Fair
20220108,8:51 AM,23°„F,9°„F,55%,NW,14mph,Nonemph,30.5in,0in,Fair
20220108,9:51 AM,23°„F,8°„F,53%,NNW,14mph,Nonemph,30.54in,0in,Fair
20220108,10:51 AM,25°„F,7°„F,46%,NW,13mph,Nonemph,30.59in,0in,Fair
20220108,11:51 AM,26°„F,7°„F,44%,NW,12mph,Nonemph,30.59in,0in,Fair
20220108,12:51 PM,28°„F,5°„F,38%,NNW,10mph,Nonemph,30.57in,0in,Fair
20220108,1:51 PM,29°„F,4°„F,35%,NNW,6mph,Nonemph,30.56in,0in,Fair
20220108,2:51 PM,30°„F,4°„F,33%,WNW,5mph,Nonemph,30.56in,0in,Fair
20220108,3:51 PM,31°„F,3°„F,31%,CALM,0mph,Nonemph,30.56in,0in,Fair
20220108,4:51 PM,32°„F,4°„F,31%,CALM,0mph,Nonemph,30.57in,0in,Fair
20220108,5:51 PM,30°„F,3°„F,32%,CALM,0mph,Nonemph,30.58in,0in,Fair
20220108,6:51 PM,31°„F,5°„F,33%,CALM,0mph,Nonemph,30.57in,0in,Fair
20220108,7:51 PM,30°„F,7°„F,38%,SSW,8mph,Nonemph,30.58in,0in,Fair
20220108,8:51 PM,30°„F,9°„F,41%,SSW,7mph,Nonemph,30.59in,0in,Fair
20220108,9:51 PM,30°„F,9°„F,41%,SSW,7mph,Nonemph,30.57in,0in,Fair
20220108,10:51 PM,30°„F,8°„F,40%,SSW,12mph,Nonemph,30.56in,0in,Fair
20220108,11:51 PM,30°„F,9°„F,41%,S,7mph,Nonemph,30.51in,0in,Fair
20220108,12:51 AM,30°„F,9°„F,41%,SW,8mph,Nonemph,30.53in,0in,Fair
20220109,1:51 AM,30°„F,9°„F,41%,SW,12mph,Nonemph,30.5in,0in,Fair
20220109,2:51 AM,30°„F,12°„F,47%,SW,9mph,Nonemph,30.5in,0in,Fair
20220109,3:51 AM,31°„F,15°„F,52%,SW,9mph,Nonemph,30.47in,0in,Mostly Cloudy
20220109,4:51 AM,32°„F,16°„F,52%,SW,10mph,Nonemph,30.44in,0in,Partly Cloudy
20220109,5:51 AM,33°„F,18°„F,54%,SSW,10mph,Nonemph,30.38in,0in,Mostly Cloudy
20220109,6:51 AM,34°„F,21°„F,59%,SSW,10mph,Nonemph,30.36in,0in,Mostly Cloudy
20220109,7:51 AM,35°„F,22°„F,59%,S,10mph,Nonemph,30.32in,0in,Mostly Cloudy
20220109,8:51 AM,36°„F,24°„F,62%,SSW,13mph,Nonemph,30.3in,0in,Mostly Cloudy
20220109,9:51 AM,36°„F,23°„F,59%,SSW,14mph,Nonemph,30.28in,0in,Mostly Cloudy
20220109,10:51 AM,37°„F,24°„F,59%,SW,6mph,Nonemph,30.26in,0in,Mostly Cloudy
20220109,11:51 AM,38°„F,25°„F,60%,SSW,12mph,Nonemph,30.22in,0in,Mostly Cloudy
20220109,12:51 PM,39°„F,26°„F,60%,SW,14mph,26mph,30.13in,0.0in,Cloudy
20220109,1:41 PM,40°„F,28°„F,63%,SW,17mph,24mph,30.11in,0in,Cloudy
20220109,1:51 PM,40°„F,28°„F,63%,SW,12mph,26mph,30.1in,0in,Cloudy
20220109,2:51 PM,40°„F,28°„F,63%,SSW,13mph,20mph,30.06in,0in,Cloudy
20220109,3:51 PM,40°„F,30°„F,68%,SW,13mph,21mph,30.02in,0in,Cloudy
20220109,4:51 PM,40°„F,31°„F,70%,SW,12mph,18mph,30.0in,0.0in,Cloudy
20220109,5:51 PM,40°„F,32°„F,73%,SW,7mph,Nonemph,30.0in,0.01in,Light Rain
20220109,6:51 PM,40°„F,33°„F,77%,WSW,12mph,18mph,29.99in,0.01in,Light Rain
20220109,7:51 PM,40°„F,34°„F,79%,SW,9mph,Nonemph,29.97in,0.02in,Light Rain
20220109,8:30 PM,40°„F,34°„F,79%,SW,10mph,21mph,29.96in,0.01in,Light Rain
20220109,8:51 PM,40°„F,35°„F,83%,WSW,10mph,Nonemph,29.97in,0.02in,Light Rain
20220109,9:51 PM,41°„F,35°„F,79%,W,9mph,Nonemph,29.95in,0.04in,Light Rain
20220109,10:04 PM,41°„F,35°„F,79%,W,10mph,Nonemph,29.95in,0.01in,Light Rain
20220109,10:51 PM,41°„F,35°„F,79%,WSW,8mph,Nonemph,29.93in,0.01in,Mostly Cloudy
20220109,11:51 PM,42°„F,34°„F,73%,W,16mph,21mph,29.94in,0in,Cloudy
